"sheet_index","sheet_name","tab_color","max_rows","max_cols","non_empty_cells","formula_cells","apparent_state","content_type","summary","likely_reuse"
"1","README","FF0000FF","63","6","120","14","active_historical_context","workbook guide","Intro and usage sheet for the old REDB source-to-target workbook, with links to related resources and notes on how the workbook was assembled.","Keep as historical context; useful for contributor-guide notes about the old workflow."
"2","ID Types","FF0000FF","1015","34","267","10","high_value_reference","identifier reference","Color-coded breakdown of city identifier fields and related signifiers, including source field, type, constraints, examples, construction rules, schema patterns, and notes about what each ID tells REDB.","High-value migration target for the data dictionary and onboarding docs."
"3","Dimensional Table Sources","","1","2","2","0","empty_placeholder","stub","Only a header row: CDW dimension table to source mapping was planned here but never filled in.","Low value unless someone wants to revive a dimension-source planning sheet."
"4","Process Tracking","","1000","27","49","0","outdated_partial_stub","project tracker","Early implementation tracker for pipeline/process steps, especially Talend-based workflow steps like download to S3 and staging transitions. Not empty, but only the first few rows are populated.","Mostly archival; individual useful tasks could move to issues if still relevant."
"5","All Databases","FF9900FF","999","44","729","111","high_value_reference","source inventory","Catalog of city source files and databases with URLs, access steps, file sizes, types, priority, include flags, table/field/record counts, freshness metadata, key presence, notes, and progress columns.","Strong migration target for source-system documentation and issue triage."
"6","Schema Tracking","","1000","27","40","0","outdated_partial_stub","project tracker","Schema-planning task tracker parallel to Process Tracking, with only a couple of early rows filled and the rest left as To Do placeholders.","Mostly archival; only worth mining for still-relevant schema tasks."
"7","All Tables ","FF9900FF","1012","17","1830","197","high_value_reference","table inventory","Inventory of city tables across files, with field counts, record counts, estimated cell counts, notes, main type, and flags for important IDs such as Parcel-11, Parcel-9, and Handle.","High-value migration target for source-table documentation."
"8","City_to_REDB","FF9900FF","2023","76","63416","26589","high_value_reference","master source-to-target mapping","Main master sheet mapping city file.table.field rows into REDB staging and core targets, with field descriptions, examples, include/ignore decisions, transformation notes, type checks, scratch notes, and helper columns for generating SQL/XML.","Highest-value archaeology sheet; prime source for data dictionary entries, mapping issues, and schema design notes."
"9","REDB_only","FF9900FF","2230","53","10017","3875","useful_historical_reference","target gap inventory","Inventory of REDB-side fields and tables that need mapping or validation, including occurrences, PK/null/type flags, map-needed status, and generator helper columns.","Useful for gap analysis against the old REDB schema; migrate only if the concepts still apply to CDW."
"10","SQL & XML Generators","","32","13","138","65","generated_helper","formula utility","Formula-driven helper tab for emitting SQL and XML snippets from mapping data. Contains broken references and copy/paste-oriented output columns.","Low standalone value; keep only as formula archaeology if generator logic matters."
"11","DBDiagram.io Generator","FF4A86E8","189","7","714","529","generated_helper","diagram generator","Formula sheet that assembles dbdiagram.io table definitions from upstream mapping rows, including table constructors, field constructors, and gathered output.","Useful only if someone wants to recreate the old dbdiagram generation workflow."
"12","DBDiagram Export V2","","925","33","4445","2006","generated_helper","parsed schema export","Working sheet that parses a dbdiagram export into table names, field names, flags, and metadata columns for review or transformation.","Useful schema archaeology; likely worth mining, not preserving wholesale."
"13","Type Mapping","FF9900FF","32","6","84","0","high_value_reference","type translation reference","Compact mapping from source/Access types to transit types and target warehouse types, for example Access Yes/No to BOOLEAN and Date/Time to DATE.","High-value migration target for contributor docs and ETL typing rules."
"14","Task Backlog","FFFF0000","4","4","16","0","tiny_historical_backlog","task list","Very small backlog tab with a few specific follow-up tasks such as newest-record checks, LRA parcel ID identification, and census mapping.","Useful as historical crumbs; likely best migrated into issues only if still relevant."
"15","Testing Pivot","","1","1","0","0","empty_generated_sheet","pivot artifact","Empty pivot-related worksheet with no visible data in the current workbook snapshot.","No migration value."
"16","Pivot on City Table","","1","1","0","0","empty_generated_sheet","pivot artifact","Empty pivot-related worksheet with no visible data in the current workbook snapshot.","No migration value."
"17","Pivot on File Name","","1","1","0","0","empty_generated_sheet","pivot artifact","Empty pivot-related worksheet with no visible data in the current workbook snapshot.","No migration value."
"18","All Field Defs","FF00FF00","258","6","1334","0","high_value_reference","field-definition inventory","Compiled field-definition sheet with name, label, type, vocabulary, and source filename columns, apparently aggregating external field-definition workbooks.","High-value migration target for the data dictionary."
"19","Pivot of Tables ","","1","1","0","0","empty_generated_sheet","pivot artifact","Empty pivot-related worksheet with no visible data in the current workbook snapshot.","No migration value."
"20","StoT Mapping (Depreciated)","","1030","30","11957","1878","superseded_but_useful","older source-to-target mapping","Deprecated predecessor to the newer master mapping, connecting city file.table.field rows to REDB staging/core fields with transformation notes, comments, labels, and source metadata.","Useful as historical backup when City_to_REDB is ambiguous, but clearly superseded."
